category,name,inputs,output,description,,TSL Specification,
Math,abs( x ),x,float,Return the absolute value of the parameter.,,https://threejs.org/docs/TSL.html?utm_source=chatgpt.com,
Math,acos( x ),"x,min,max",float,Return the arccosine of the parameter.,,,
Math,all( x ),x,float,Return true if all components of x are true.,,,
Math,any( x ),x,float,Return true if any component of x is true.,,,
Math,asin( x ),x,float,Return the arcsine of the parameter.,,,
Math,"atan( y, x )",x,float,Return the arc-tangent of the parameters.,,,
Math,"bitcast( x, y )",x,float,Reinterpret the bits of a value as a different type.,,,
Math,cbrt( x ),x,float,Return the cube root of the parameter.,,,
Math,ceil( x ),x,float,Find the nearest integer that is greater than or equal to the parameter.,,,
Math,"clamp( x, min, max )",x,float,Constrain a value to lie between two further values.,,,
Math,cos( x ),x,float,Return the cosine of the parameter.,,,
Math,"cross( x, y )",x,float,Calculate the cross product of two vectors.,,,
Math,dFdx( p ),x,float,Return the partial derivative of an argument with respect to x.,,,
Math,dFdy( p ),x,float,Return the partial derivative of an argument with respect to y.,,,
Math,degrees( radians ),x,float,Convert a quantity in radians to degrees.,,,
Math,"difference( x, y )",x,float,Calculate the absolute difference between two values.,,,
Math,"distance( x, y )",x,float,Calculate the distance between two points.,,,
Math,"dot( x, y )",x,float,Calculate the dot product of two vectors.,,,
Math,"equals( x, y )",x,float,Return true if x equals y.,,,
Math,exp( x ),x,float,Return the natural exponentiation of the parameter.,,,
Math,exp2( x ),x,float,Return 2 raised to the power of the parameter.,,,
Math,"faceforward( N, I, Nref )",x,float,Return a vector pointing in the same direction as another.,,,
Math,floor( x ),x,float,Find the nearest integer less than or equal to the parameter.,,,
Math,fract( x ),x,float,Compute the fractional part of the argument.,,,
Math,fwidth( x ),x,float,Return the sum of the absolute derivatives in x and y.,,,
Math,inverseSqrt( x ),x,float,Return the inverse of the square root of the parameter.,,,
Math,length( x ),x,float,Calculate the length of a vector.,,,
Math,lengthSq( x ),x,float,Calculate the squared length of a vector.,,,
Math,log( x ),x,float,Return the natural logarithm of the parameter.,,,
Math,log2( x ),x,float,Return the base 2 logarithm of the parameter.,,,
Math,"max( x, y )",x,float,Return the greater of two values.,,,
Math,"min( x, y )",x,float,Return the lesser of two values.,,,
Math,"mix( x, y, a )",x,float,Linearly interpolate between two values.,,,
Math,negate( x ),x,float,Negate the value of the parameter ( -x ).,,,
Math,normalize( x ),x,float,Calculate the unit vector in the same direction as the original vector.,,,
Math,oneMinus( x ),x,float,Return 1 minus the parameter.,,,
Math,"pow( x, y )",x,float,Return the value of the first parameter raised to the power of the second.,,,
Math,pow2( x ),x,float,Return the square of the parameter.,,,
Math,pow3( x ),x,float,Return the cube of the parameter.,,,
Math,pow4( x ),x,float,Return the fourth power of the parameter.,,,
Math,radians( degrees ),x,float,Convert a quantity in degrees to radians.,,,
Math,reciprocal( x ),x,float,Return the reciprocal of the parameter (1/x).,,,
Math,"reflect( I, N )",x,float,Calculate the reflection direction for an incident vector.,,,
Math,"refract( I, N, eta )",x,float,Calculate the refraction direction for an incident vector.,,,
Math,round( x ),x,float,Round the parameter to the nearest integer.,,,
Math,saturate( x ),x,float,Constrain a value between 0 and 1.,,,
Math,sign( x ),x,float,Extract the sign of the parameter.,,,
Math,sin( x ),x,float,Return the sine of the parameter.,,,
Math,"smoothstep( e0, e1, x )",x,float,Perform Hermite interpolation between two values.,,,
Math,sqrt( x ),x,float,Return the square root of the parameter.,,,
Math,"step( edge, x )",x,float,Generate a step function by comparing two values.,,,
Math,tan( x ),x,float,Return the tangent of the parameter.,,,
Math,"transformDirection( dir, matrix )",x,float,Transform the direction of a vector by a matrix and then normalize the result.,,,
Math,trunc( x ),x,float,"Truncate the parameter, removing the fractional part.",,,
Constants,TWO_PI,,,Two times π (2π).,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
